id,cost,LB,f_hat,num_coll,cost-to-go,h_hat,parent
139002906739520,3459,3471,3469.9210524735113,83,140,10.921052473511082,139002905717184
139002906240192,3459,3473,3469.9210524720743,83,140,10.921052472074102,139002906739520
139002904878080,3470,3481,3480.6578945797783,81,129,10.657894579778395,139002906240192
139002905673152,3470,3481,3484.054053839445,80,129,14.054053839444851,139002904878080
139002905574208,3470,3481,3483.693333125195,79,129,13.693333125194666,139002905673152
139002905696000,3470,3493,3482.0694442516688,79,129,12.0694442516686,139002905574208
139002904149312,3470,3482,3482.069444249992,79,129,12.069444249992284,139002905696000
139002903087616,3470,3482,3481.916666473021,78,129,11.916666473020836,139002904149312
139002903481408,3470,3482,3481.7534244675476,78,129,11.753424467547383,139002903087616
139002904474624,3470,3482,3481.602739536887,77,129,11.602739536886848,139002903481408
139002902778176,3470,3484,3481.297297114098,76,129,11.297297114097884,139002904474624
139002904259904,3477,3493,3487.853333158233,74,122,10.853333158232891,139002902778176
139002904881664,3477,3501,3489.4868419048166,73,122,12.486841904816483,139002904259904
139002901087936,3494,3513,3505.8181816293977,70,105,11.818181629397879,139002904881664
139002902275392,3494,3513,3505.4999998171793,69,105,11.49999981717949,139002901087936
139002902173184,3494,3513,3505.025316281245,67,105,11.025316281244994,139002902275392
139002902633792,3494,3513,3504.592592427819,66,105,10.592592427818934,139002902173184
139002904559296,3494,3515,3504.14634130627,64,105,10.14634130627008,139002902633792
139002900734656,3499,3516,3508.904761753832,64,100,9.9047617538322,139002904559296
139002902339584,3499,3516,3508.9878047209236,63,100,9.98780472092356,139002900734656
139002901949824,3499,3516,3508.7108432213963,62,100,9.71084322139643,139002902339584
139002900809984,3499,3516,3508.44047604325,61,100,9.440476043249719,139002901949824
139002900649024,3499,3517,3508.0235292716347,59,100,9.023529271634604,139002900809984
139002901030080,3499,3516,3507.6666665341763,58,100,8.666666534176246,139002900649024
139002901327872,3499,3518,3507.272727146756,56,100,8.2727271467562,139002901030080
139002899577408,3500,3520,3507.944444325278,55,99,7.944444325277778,139002901327872
139002899631808,3502,3520,3510.307692183533,54,97,8.307692183533389,139002899577408
139002899907904,3502,3520,3510.1538460310903,53,97,8.15384603109045,139002899631808
139002900206656,3502,3521,3510.0652172703262,53,97,8.065217270326087,139002899907904
139002900356736,3502,3523,3510.0652172694495,53,97,8.065217269449434,139002900206656
139002900472960,3502,3523,3509.913043357845,52,97,7.913043357844993,139002900356736
139002898645632,3509,3527,3516.677419238439,51,90,7.6774192384391275,139002900472960
139002903999808,3513,3530,3521.2258063260147,51,86,8.225806326014569,139002898645632
139002899049280,3513,3535,3521.8888887466665,50,86,8.888888746666668,139002903999808
139002898909632,3513,3535,3521.791208651129,50,86,8.791208651129093,139002899049280
